column,subsystem,role,index
tune_lev_errorresettable_out,lev,out,events
tune_lev_erroremergency_out,lev,out,events
tune_lev_errornonemergency_out,lev,out,events
tune_lev_alldriveshighvoltage_out,lev,out,events
tune_lev_drivestatus0_out,lev,out,events
tune_lev_drivestatus1_out,lev,out,events
tune_lev_drivestatus2_out,lev,out,events
tune_lev_drivestatus3_out,lev,out,events
tune_lev_drivestatus4_out,lev,out,events
tune_lev_drivestatus5_out,lev,out,events
tune_lev_drivestatus6_out,lev,out,events
tune_lev_drivestatus7_out,lev,out,events
tune_lev_drivestatus8_out,lev,out,events
tune_lev_drivestatus9_out,lev,out,events
tune_lev_drivestatus10_out,lev,out,events
tune_lev_drivestatus11_out,lev,out,events
tune_lev_drivestatus12_out,lev,out,events
tune_lev_drivestatus13_out,lev,out,events
tune_lev_drivestatus14_out,lev,out,events
tune_lev_drivestatus15_out,lev,out,events
tune_lev_drivestatus16_out,lev,out,events
tune_lev_drivestatus17_out,lev,out,events
tune_lev_drivestatus18_out,lev,out,events
tune_lev_drivestatus19_out,lev,out,events
tune_lev_drivestatus20_out,lev,out,events
tune_lev_drivestatus21_out,lev,out,events
tune_lev_drivestatus22_out,lev,out,events
tune_lev_drivestatus23_out,lev,out,events
tune_lev_drivediagnostics0_out,lev,out,events
tune_lev_drivediagnostics1_out,lev,out,events
tune_lev_drivediagnostics2_out,lev,out,events
tune_lev_drivediagnostics3_out,lev,out,events
tune_lev_drivediagnostics4_out,lev,out,events
tune_lev_drivediagnostics5_out,lev,out,events
tune_lev_drivediagnostics6_out,lev,out,events
tune_lev_drivediagnostics7_out,lev,out,events
tune_lev_drivediagnostics8_out,lev,out,events
tune_lev_drivediagnostics9_out,lev,out,events
tune_lev_drivediagnostics10_out,lev,out,events
tune_lev_drivediagnostics11_out,lev,out,events
tune_lev_drivediagnostics12_out,lev,out,events
tune_lev_drivediagnostics13_out,lev,out,events
tune_lev_drivediagnostics14_out,lev,out,events
tune_lev_drivediagnostics15_out,lev,out,events
tune_lev_drivediagnostics16_out,lev,out,events
tune_lev_drivediagnostics17_out,lev,out,events
tune_lev_drivediagnostics18_out,lev,out,events
tune_lev_drivediagnostics19_out,lev,out,events
tune_lev_drivediagnostics20_out,lev,out,events
